"Press releases - Bank of CanadaDark Mode BetaDark Mode BetaHome","\r\nFind press releases by keyword, location, source, topic or publication date.\r\n"
"Triennial Central Bank Survey of Foreign Exchange and Derivatives Market Activity in Canada during April 2022 - Bank of CanadaDark Mode BetaDark Mode BetaHome","In April, the Bank of Canada and 51 other central banks and monetary authorities conducted the latest triennial survey of turnover activity in the foreign exchange (FX) and over-the-counter (OTC) derivatives markets in their respective countries. This worldwide effort was coordinated by the Bank for International Settlements (BIS) to obtain global, comprehensive and consistent information on the size and structure of the FX and OTC derivatives markets.The Bank of Canada today released the summary results of its survey, as did many other participating central banks.1 As well, the BIS issued a press release that summarizes highlights of the aggregated global turnover. All dealers in Canada that are active in the wholesale FX and OTC derivatives markets were surveyed.2With respect to FX, the survey covered spot transactions, outright forwards, FX swaps, currency swaps and OTC FX options.3 The interest rate products covered were forward-rate agreements, interest rate swaps, overnight index swaps and OTC interest rate options."
"Deputy Governor Paul Beaudry to leave the Bank of Canada - Bank of CanadaDark Mode BetaDark Mode BetaHome","The Bank of Canada announced today that Deputy Governor Paul Beaudry will leave the Bank at the end of July 2023. Mr. Beaudry will return to his academic position at the University of British Columbia.Mr. Beaudry was appointed as a Deputy Governor in February 2019 and assigned as one of two Deputy Governors responsible for overseeing the Bank’s financial system activities. Since December 2020, he has been responsible for overseeing the Bank’s analysis of international economic developments in support of monetary policy decisions. He has also served as the Bank’s G7 and G20 Deputy. Before his appointment to the Bank of Canada, Mr. Beaudry was a professor of economics at University of British Columbia’s Vancouver School of Economics.Governor Tiff Macklem praised Mr. Beaudry’s invaluable contributions to the Bank’s policymaking, research and global engagement activities during his time at the Bank of Canada.“Paul has been a crucial member of the Governing Council team during one of the most challenging periods in the Bank’s history. We have benefitted immensely from his expertise and thought leadership, his boundless energy, and his exceptional communication skills,” Governor Macklem said. “Most of all, we’ve benefited from Paul’s commitment to team-work – whether that’s been as a member of Governing Council, in all of his collaborations with Bank of Canada staff, or as a member of the international policy-making community. Paul has had a profound impact on everyone he has worked with and he will be missed. We wish Paul every success in his return to UBC and look forward to continuing our long-standing relationship with him as one of Canada’s foremost academics.”The Bank will soon undertake an internal recruitment process for the Deputy Governor position that will be vacated upon Mr. Beaudry’s departure."
"Bank of Canada increases policy interest rate by 25 basis points, continues quantitative tightening - Bank of CanadaDark Mode BetaDark Mode BetaHome","The Bank of Canada today increased its target for the overnight rate to 4½%, with the Bank Rate at 4¾% and the deposit rate at 4½%. The Bank is also continuing its policy of quantitative tightening.Global inflation remains high and broad-based. Inflation is coming down in many countries, largely reflecting lower energy prices as well as improvements in global supply chains. In the United States and Europe, economies are slowing but proving more resilient than was expected at the time of the Bank’s October Monetary Policy Report (MPR). China’s abrupt lifting of COVID-19 restrictions has prompted an upward revision to the growth forecast for China and poses an upside risk to commodity prices. Russia’s war on Ukraine remains a significant source of uncertainty. Financial conditions remain restrictive but have eased since October, and the Canadian dollar has been relatively stable against the US dollar.The Bank estimates the global economy grew by about 3½% in 2022, and will slow to about 2% in 2023 and 2½% in 2024. This projection is slightly higher than October’s.In Canada, recent economic growth has been stronger than expected and the economy remains in excess demand. Labour markets are still tight: the unemployment rate is near historic lows and businesses are reporting ongoing difficulty finding workers. However, there is growing evidence that restrictive monetary policy is slowing activity, especially household spending. Consumption growth has moderated from the first half of 2022 and housing market activity has declined substantially. As the effects of interest rate increases continue to work through the economy, spending on consumer services and business investment are expected to slow. Meanwhile, weaker foreign demand will likely weigh on exports. This overall slowdown in activity will allow supply to catch up with demand.The Bank estimates Canada’s economy grew by 3.6% in 2022, slightly stronger than was projected in October. Growth is expected to stall through the middle of 2023, picking up later in the year. The Bank expects GDP growth of about 1% in 2023 and about 2% in 2024, little changed from the October outlook.Inflation has declined from 8.1% in June to 6.3% in December, reflecting lower gasoline prices and, more recently, moderating prices for durable goods. Despite this progress, Canadians are still feeling the hardship of high inflation in their essential household expenses, with persistent price increases for food and shelter. Short-term inflation expectations remain elevated. Year-over-year measures of core inflation are still around 5%, but 3-month measures of core inflation have come down, suggesting that core inflation has peaked.Inflation is projected to come down significantly this year. Lower energy prices, improvements in global supply conditions, and the effects of higher interest rates on demand are expected to bring CPI inflation down to around 3% in the middle of this year and back to the 2% target in 2024.With persistent excess demand putting continued upward pressure on many prices, Governing Council decided to increase the policy interest rate by a further 25 basis points. The Bank’s ongoing program of quantitative tightening is complementing the restrictive stance of the policy rate. If economic developments evolve broadly in line with the MPR outlook, Governing Council expects to hold the policy rate at its current level while it assesses the impact of the cumulative interest rate increases. Governing Council is prepared to increase the policy rate further if needed to return inflation to the 2% target, and remains resolute in its commitment to restoring price stability for Canadians. Information noteThe next scheduled date for announcing the overnight rate target is March 8, 2023. The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the MPR on April 12, 2023. "
"Bank of Canada maintains policy rate, continues quantitative tightening - Bank of CanadaDark Mode BetaDark Mode BetaHome","The Bank of Canada today held its target for the overnight rate at 4½%, with the Bank Rate at 4¾% and the deposit rate at 4½%. The Bank is also continuing its policy of quantitative tightening.Global economic developments have evolved broadly in line with the outlook in the January Monetary Policy Report (MPR).  Global growth continues to slow, and inflation, while still too high, is coming down due primarily to lower energy prices. In the United States and Europe, near-term outlooks for growth and inflation are both somewhat higher than expected in January. In particular, labour markets remain tight, and elevated core inflation is persisting. Growth in China is rebounding in the first quarter. Commodity prices have evolved roughly in line with the Bank’s expectations, but the strength of China’s recovery and the impact of Russia’s war in Ukraine remain key sources of upside risk. Financial conditions have tightened since January, and the US dollar has strengthened.In Canada, economic growth came in flat in the fourth quarter of 2022, lower than the Bank projected. With consumption, government spending and net exports all increasing, the weaker-than-expected GDP was largely because of a sizeable slowdown in inventory investment. Restrictive monetary policy continues to weigh on household spending, and business investment has weakened alongside slowing domestic and foreign demand.The labour market remains very tight. Employment growth has been surprisingly strong, the unemployment rate remains near historic lows, and job vacancies are elevated. Wages continue to grow at 4% to 5%, while productivity has declined in recent quarters.Inflation eased to 5.9% in January, reflecting lower price increases for energy, durable goods and some services. Price increases for food and shelter remain high, causing continued hardship for Canadians. With weak economic growth for the next couple of quarters, pressures in product and labour markets are expected to ease. This should moderate wage growth and also increase competitive pressures, making it more difficult for businesses to pass on higher costs to consumers.Overall, the latest data remains in line with the Bank’s expectation that CPI inflation will come down to around 3% in the middle of this year. Year-over-year measures of core inflation ticked down to about 5%, and 3-month measures are around 3½%. Both will need to come down further, as will short-term inflation expectations, to return inflation to the 2% target.At its January decision, the Governing Council indicated that it expected to hold the policy interest rate at its current level, conditional on economic developments evolving broadly in line with the MPR outlook. Based on its assessment of recent data, Governing Council decided to maintain the policy rate at 4½%. Quantitative tightening is complementing this restrictive stance. Governing Council will continue to assess economic developments and the impact of past interest rate increases, and is prepared to increase the policy rate further if needed to return inflation to the 2% target. The Bank remains resolute in its commitment to restoring price stability for Canadians.Information noteThe next scheduled date for announcing the overnight rate target is April 12, 2023. The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the Monetary Policy Report at the same time."
"Bank of Canada increases policy interest rate by 50 basis points,  continues quantitative tightening - Bank of CanadaDark Mode BetaDark Mode BetaHome","The Bank of Canada today increased its target for the overnight rate to 4¼%, with the Bank Rate at 4½% and the deposit rate at 4¼%. The Bank is also continuing its policy of quantitative tightening.Inflation around the world remains high and broadly based. Global economic growth is slowing, although it is proving more resilient than was expected at the time of the October Monetary Policy Report (MPR). In the United States, the economy is weakening but consumption continues to be solid and the labour market remains overheated. The gradual easing of global supply bottlenecks continues, although further progress could be disrupted by geopolitical events.In Canada, GDP growth in the third quarter was stronger than expected, and the economy continued to operate in excess demand. Canada’s labour market remains tight, with unemployment near historic lows. While commodity exports have been strong, there is growing evidence that tighter monetary policy is restraining domestic demand: consumption moderated in the third quarter, and housing market activity continues to decline. Overall, the data since the October MPR support the Bank’s outlook that growth will essentially stall through the end of this year and the first half of next year.CPI inflation remained at 6.9% in October, with many of the goods and services Canadians regularly buy showing large price increases. Measures of core inflation remain around 5%. Three-month rates of change in core inflation have come down, an early indicator that price pressures may be losing momentum. However, inflation is still too high and short-term inflation expectations remain elevated. The longer that consumers and businesses expect inflation to be above the target, the greater the risk that elevated inflation becomes entrenched.Looking ahead, Governing Council will be considering whether the policy interest rate needs to rise further to bring supply and demand back into balance and return inflation to target. Governing Council continues to assess how tighter monetary policy is working to slow demand, how supply challenges are resolving, and how inflation and inflation expectations are responding. Quantitative tightening is complementing increases in the policy rate. We are resolute in our commitment to achieving the 2% inflation target and restoring price stability for Canadians.Information noteThe next scheduled date for announcing the overnight rate target is January 25, 2023. The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the MPR at the same time."
"Bank of Canada announces appointment of non-executive Deputy Governor - Bank of CanadaDark Mode BetaDark Mode BetaHome","The Board of Directors of the Bank of Canada today announced the appointment of Nicolas Vincent as the Bank’s new external, non-executive Deputy Governor for a term of two years, effective March 13, 2023. Mr. Vincent’s appointment, which is the result of an open external search process, fills the vacancy created by the departure of Timothy Lane in September 2022.“I am delighted that Nicolas Vincent is joining the Bank’s Governing Council and I am looking forward to working with him,” said Governor Tiff Macklem. “He is an accomplished scholar and teacher, with deep expertise in macro and microeconomic research in areas such as inflation and price dispersion, firm dynamics, inequality, house prices and household finance. I have no doubt that his broad knowledge of monetary economics combined with his keen interest in public policy will be invaluable in helping the Bank navigate the policy challenges ahead.”The Bank changed the fourth Deputy Governor position to an external, non-executive Deputy Governor role to bring diverse perspectives into its consensus-based policy-making process and to ensure the Bank’s executive team has a streamlined and effective distribution of management responsibility. In this role, Mr. Vincent will be a member the Bank’s Governing Council, which is responsible for decisions with respect to monetary policy and financial system stability. Alongside other members of Governing Council, he will also be responsible for communicating with Canadians about the Bank’s consensus-based policy decisions as well as its ongoing assessment of the outlook for the economy and inflation. In keeping with the nature of this role, Mr. Vincent will work with the Bank of Canada in a part-time capacity and will maintain his affiliation with HEC Montréal.Mr. Vincent is a professor of economics in the Department of Applied Economics at HEC Montréal and co-chair of the Business Cycles and Financial Markets research theme at CIRANO (Centre interuniversitaire de recherche en analyse des organisations). He has been a visiting faculty member and researcher at numerous institutions, including Columbia Business School, INSEAD, the Banque de France and the Kellogg School of Management.Born in Trois-Rivières, Quebec, Mr. Vincent received a Bachelor of Commerce degree in applied economics from HEC Montréal, a master’s degree in economics from Queen’s University and a PhD in economics from Northwestern University."
"Bank of Canada maintains policy rate, continues quantitative tightening - Bank of CanadaDark Mode BetaDark Mode BetaHome","The Bank of Canada today held its target for the overnight rate at 4½%, with the Bank Rate at 4¾% and the deposit rate at 4½%. The Bank is also continuing its policy of quantitative tightening.Inflation in many countries is easing in the face of lower energy prices, normalizing global supply chains, and tighter monetary policy. At the same time, labour markets remain tight and measures of core inflation in many advanced economies suggest persistent price pressures, especially for services.Global economic growth has been stronger than anticipated. Growth in the United States and Europe has surprised on the upside, but is expected to weaken as tighter monetary policy continues to feed through those economies. In the United States, recent stress in the banking sector has tightened credit conditions further. US growth is expected to slow considerably in the coming months, with particular weakness in sectors that are important for Canadian exports. Meanwhile, activity in China’s economy has rebounded, particularly in services. Overall, commodity prices are close to their January levels. The Bank’s April Monetary Policy Report (MPR) projects global growth of 2.6% this year, 2.1% in 2024, and 2.8% in 2025.In Canada, demand is still exceeding supply and the labour market remains tight. Economic growth in the first quarter looks to be stronger than was projected in January, with a bounce in exports and solid consumption growth. While the Bank’s Business Outlook Survey suggests acute labour shortages are starting to ease, wage growth is still elevated relative to productivity growth. Strong population gains are adding to labour supply and supporting employment growth while also boosting aggregate consumption. Housing market activity remains subdued.As more households renew their mortgages at higher rates and restrictive monetary policy works its way through the economy more broadly, consumption is expected to moderate this year. Softening foreign demand is expected to restrain exports and business investment. Overall, GDP growth is projected to be weak through the remainder of this year before strengthening gradually next year. This implies the economy will move into excess supply in the second half of this year. The Bank now projects Canada’s economy to grow by 1.4% this year and 1.3% in 2024 before picking up to 2.5% in 2025.CPI inflation eased to 5.2% in February, and the Bank’s preferred measures of core inflation were just under 5%. The Bank expects CPI inflation to fall quickly to around 3% in the middle of this year and then decline more gradually to the 2% target by the end of 2024. Recent data is reinforcing Governing Council’s confidence that inflation will continue to decline in the next few months. However, getting inflation the rest of the way back to 2% could prove to be more difficult because inflation expectations are coming down slowly, service price inflation and wage growth remain elevated, and corporate pricing behaviour has yet to normalize. As it sets monetary policy, Governing Council will be particularly focused on these indicators, and the evolution of core inflation, to gauge the progress of CPI inflation back to target.In light of its outlook for growth and inflation, Governing Council decided to maintain the policy rate at 4½%. Quantitative tightening continues to complement this restrictive stance. Governing Council continues to assess whether monetary policy is sufficiently restrictive to relieve price pressures and remains prepared to raise the policy rate further if needed to return inflation to the 2% target. The Bank remains resolute in its commitment to restoring price stability for Canadians.Information noteThe next scheduled date for announcing the overnight rate target is June 7, 2023. The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the MPR on July 12, 2023."
"Bank of Canada announces 2022–23 scholarship recipients - Bank of CanadaDark Mode BetaDark Mode BetaHome","The Bank of Canada is pleased to announce this year’s recipients of its scholarship awards for students with disabilities, Indigenous students, LGBTQ2S+ students, francophones and students who identify as a woman or as a member of a visible minority or racialized group. We know that diversity and inclusion are core to our success as a leading central bank. A more inclusive economy is a bigger economy—a more prosperous economy. That is why our scholarships are designed to encourage Canadians from diverse backgrounds to further their education and consider employment in fields related to the work of the Bank.The 2022–23 award recipients are as follows:Notes for editors"
"Bank of Canada releases first report about climate risks to its mandate and operations - Bank of CanadaDark Mode BetaDark Mode BetaHome","The Bank of Canada has released its first annual report outlining the risks that climate change poses to its mandate and operations.The report published today evaluates how the physical effects of climate change and potential disruptions from the transition to a low-carbon economy could impact the Bank’s ability to deliver its core functions. It outlines what the Bank is doing to manage these risks, including risks to its balance sheet and pension fund, and to reduce the carbon footprint of its operations.“This report is part of our accountability to Canadians. It represents an important first step in evaluating and explaining how we are managing the climate risks we face and what we are doing to reduce our greenhouse gas emissions,” said Bank of Canada Governor Tiff Macklem. “We want others to do the same. Better data and risk assessments and more comprehensive disclosure will help investors, businesses, regulators, governments and all Canadians make better-informed decisions about climate change.”"
"The Bank of Canada releases its Annual Report for 2022 - Bank of CanadaDark Mode BetaDark Mode BetaHome","\r\nThe Bank of Canada’s Annual Report for 2022 was tabled in the House of Commons today.\r\n\r\nFor more information, please contact .           \r\n"
