"Press Releases",""
"Press Releases",""
"Sharon Kozicki appointed as Deputy Governor of the Bank of Canada","\n            \n        "
"Press Releases",""
"Bank of Canada maintains policy rate and forward guidance, adjusts quantitative easing program","\n            The Bank of Canada today held its target for the overnight rate at the effective lower bound of ¼ percent, with the Bank Rate at ½ percent and the deposit rate at ¼ percent. The Bank is maintaining its extraordinary forward guidance on the path for the overnight rate. This is reinforced and supplemented by the Bank’s quantitative easing (QE) program, which is being adjusted to a target pace of $2 billion per week. This adjustment reflects continued progress towards recovery and the Bank’s increased confidence in the strength of the Canadian economic outlook.\nThe global economy is recovering strongly from the COVID-19 pandemic, with continued progress on vaccinations, particularly in advanced economies. However, the recovery is still highly uneven and remains dependent on the course of the virus. The recent spread of new COVID-19 variants is a growing concern, especially for regions where vaccination rates remain low. \nGlobal GDP growth is expected to reach 7 percent this year and then moderate to about 4 ½ percent in 2022 and just over 3 percent in 2023. This is a slightly stronger forecast than the one in the Bank’s April Monetary Policy Report (MPR) and primarily reflects a stronger US outlook. Global financial conditions remain highly accommodative. Rising demand is supporting higher oil prices, while non-energy commodity prices remain elevated. The Canada-US exchange rate is little changed since April.\nIn Canada, the third wave of the virus slowed growth in the second quarter. However, falling COVID-19 cases, progress on vaccinations and easing containment restrictions all point to a strong pickup in the second half of this year. The Bank now expects GDP growth of around 6 percent in 2021 – a little slower than was expected in April – but has revised up its 2022 forecast to 4 ½ percent and projects 3 ¼ percent growth in 2023.\nConsumption is expected to lead the recovery as households return to more normal spending patterns, while housing market activity is projected to ease back from historical highs. Stronger international demand should underpin a solid recovery in exports. As domestic and foreign demand increases and confidence improves, business investment will gain strength. Employment has once again begun to rebound, and we expect the hardest-hit segments of the labour market to post strong gains as the economy re-opens. However, the pace of the recovery will vary among industries and workers, and it could take some time to hire workers with the right skills to fill jobs. The aftermath of lockdowns and ongoing structural changes in the economy both mean that estimates of potential output and when the output gap will close are particularly uncertain.\nCPI inflation was 3.6 percent in May, boosted by temporary factors that include base-year effects and stronger gasoline prices, as well as pandemic-related bottlenecks as economies re-open. Core measures of inflation have also risen but by less than the CPI. In some high-contact services, demand is rebounding faster than supply, pushing up prices from low levels. Transitory supply constraints in shipping and value chain disruptions for semiconductors are also translating into higher prices for cars and some other goods. With higher gasoline prices and on-going supply bottlenecks, inflation is likely to remain above 3 percent through the second half of this year and ease back toward 2 percent in 2022, as short-run imbalances diminish and the considerable overall slack in the economy pulls inflation lower. The factors pushing up inflation are transitory, but their persistence and magnitude are uncertain and will be monitored closely.\nThe Governing Council judges that the Canadian economy still has considerable excess capacity, and that the recovery continues to require extraordinary monetary policy support. We remain committed to holding the policy interest rate at the effective lower bound until economic slack is absorbed so that the 2 percent inflation target is sustainably achieved. In the Bank’s July projection, this happens sometime in the second half" <> ...
"Press Releases",""
"Press Releases",""
"Bank of Canada maintains commitment to current level of policy rate, continues program of quantitative easing","\n            The Bank of Canada today maintained its target for the overnight rate at the effective lower bound of ¼ percent. The Bank Rate is correspondingly ½ percent and the deposit rate is ¼ percent. The Bank is also continuing its quantitative easing (QE) program, with large-scale asset purchases of at least $5 billion per week of Government of Canada bonds.\nBoth the global and Canadian economies are evolving broadly in line with the scenario in the July Monetary Policy Report (MPR), with activity bouncing back as countries lift containment measures. The Bank continues to expect this strong reopening phase to be followed by a protracted and uneven recuperation phase, which will be heavily reliant on policy support. The pace of the recovery remains highly dependent on the path of the COVID-19 pandemic and the evolution of social distancing measures required to contain its spread.\nThe rebound in the United States has been stronger than expected, while economic performance among emerging markets has been more mixed. Global financial conditions have remained accommodative. Although prices for some commodities have firmed, oil prices remain weak.\nIn Canada, real GDP fell by 11.5 percent (39 percent annualized) in the second quarter, resulting in a decline of just over 13 percent in the first half of the year, largely in line with the Bank’s July MPR central scenario. All components of aggregate demand weakened, as expected.\nAs the economy reopens, the bounce-back in activity in the third quarter looks to be faster than anticipated in July. Economic activity has been supported by government programs to replace incomes and subsidize wages. Core funding markets are functioning well, and this has led to a decline in the use of the Bank’s short-term liquidity programs. Monetary policy is working to support household spending and business investment by making borrowing more affordable.\nHousehold spending rebounded sharply over the summer, with stronger-than-expected goods consumption and housing activity largely reflecting pent-up demand. There has also been a large but uneven rebound in employment. Exports are recovering in response to strengthening foreign demand, but are still well below pre-pandemic levels. Business confidence and investment remain subdued. While recent data during the reopening phase is encouraging, the Bank continues to expect the recuperation phase to be slow and choppy as the economy copes with ongoing uncertainty and structural challenges.\nCPI inflation is close to zero, with downward pressure from energy prices and travel services, and is expected to remain well below target in the near term. Measures of core inflation are between 1.3 percent and 1.9 percent, reflecting the large degree of economic slack, with the core measure most influenced by services prices showing the weakest growth.\nAs the economy moves from reopening to recuperation, it will continue to require extraordinary monetary policy support. The Governing Council will hold the policy interest rate at the effective lower bound until economic slack is absorbed so that the 2 percent inflation target is sustainably achieved. To reinforce this commitment and keep interest rates low across the yield curve, the Bank is continuing its large-scale asset purchase program at the current pace. This QE program will continue until the recovery is well underway and will be calibrated to provide the monetary policy stimulus needed to support the recovery and achieve the inflation objective.\nInformation note\nThe next scheduled date for announcing the overnight rate target is October 28, 2020. The next full update of the Bank’s outlook for the economy and inflation, including risks to the projection, will be published in the MPR at the same time.\n\n        "
"Tiff Macklem Appointed Governor of the Bank of Canada","\n            The Directors of the Bank of Canada, appointed under Section 9 of the Bank of Canada Act, today announced that they have appointed Tiff Macklem as Governor of the Bank of Canada for a seven-year term, effective 3 June 2020. Mr. Macklem will succeed Stephen S. Poloz, who is leaving the Bank of Canada on 2 June 2020.\n\"After pursuing an exhaustive domestic and international selection process for this crucial role, I'm delighted to say that Tiff Macklem has the exceptional qualities to fulfil this role,” said Claire Kennedy, Chair of the Special Committee of the Board of Directors. \"Tiff has deep knowledge of monetary policy and financial stability issues, a proven crisis management track record, and extensive senior leadership experience. We are confident Tiff will make an outstanding contribution to promoting the economic and financial welfare of Canada, and to upholding the Bank’s exemplary reputation as a leading central bank.”\nA native of Montréal, Quebec, Mr. Macklem has been Dean of the Rotman School of Management at the University of Toronto since July 2014. Prior to that, he served as the Senior Deputy Governor at the Bank of Canada between July 2010 and May 2014. Before his appointment as Senior Deputy Governor, Mr. Macklem was Associate Deputy Minister at the Department of Finance, serving as Canada's representative at the G7, G20 and Financial Stability Board. Mr. Macklem first joined the Bank in 1984 and occupied increasingly senior positions until he was appointed Advisor to the Governor in August 2003. In 2003-4, he was seconded to the Department of Finance, before returning to the Bank as Deputy Governor in December 2004. Mr. Macklem graduated from Queen's University in 1983 with a bachelor's degree in economics, and completed a master’s degree and a PhD in economics from the University of Western Ontario.\nOn behalf of the directors, Ms. Kennedy thanked Governor Poloz for his dedicated service and his leadership in promoting the economic and financial well being of Canada throughout his tenure. She also thanked him for the important contributions he has made to the global policy dialogue, which are being brought to bear in the current challenging circumstances. On behalf of Canadians, the Board expressed its appreciation for Governor Poloz's distinguished career at the Bank of Canada, the legacy of which will continue to serve our country well.\n        "
"Press Releases",""
